STATIONS_ID	NAME	FEDERAL_STATE
01844	Feldkirchen-Westerham-Lenzmühle	Bayern
01849	Großmehring-Theißing	Bayern
01863	Gründau-Breitenborn	Hessen
01869	Grünow	Brandenburg
01873	Grund, Bad	Niedersachsen
01874	Grund, Bad (Erzbergwerk)	Niedersachsen
01875	Gschwend, Kr. Ostalb	Baden-Württemberg
01886	Günzburg	Bayern
01890	Güstrow-Schabernack	Mecklenburg-Vorpommern
01891	Rheda-Wiedenbrück-Lintel	Nordrhein-Westfalen
01892	Gütersloh (Flugplatz)	Nordrhein-Westfalen
01902	Gunzenhausen/Altmühlsee	Bayern
01920	Hagen-Fley	Nordrhein-Westfalen
01922	Hagen (Stadtsparkasse)	Nordrhein-Westfalen
01929	Hahnenklee	Niedersachsen
01957	Halle-Kröllwitz	Sachsen-Anhalt
01960	Halle (Stadt)	Sachsen-Anhalt
01963	Hallig Hooge	Schleswig-Holstein
01964	Olsdorf	Rheinland-Pfalz
01972	Hamburg-Bergedorf	Hamburg
01973	Hamburg-Botanischer Garten	Hamburg
01975	Hamburg-Fuhlsbüttel	Hamburg
01979	Hamburg-Kirchwerder	Hamburg
01981	Hamburg-Neuwiedenthal	Hamburg
01986	Hamburg-Reitbrook	Hamburg
01987	Hamburg-Sankt Pauli	Hamburg
01990	Hamburg-Wandsbek	Hamburg
01993	Hameln	Niedersachsen
02000	Hanau	Hessen
02005	Hankensbüttel	Niedersachsen
02014	Hannover	Niedersachsen
02023	Harburg	Bayern
02039	Harzburg, Bad	Niedersachsen
02044	Harzgerode	Sachsen-Anhalt
02048	Haseldorf	Schleswig-Holstein
02053	Hasselfelde	Sachsen-Anhalt
02055	Haßfurt	Bayern
02069	Hausstein	Bayern
02074	Hechingen	Baden-Württemberg
02078	Weddingstedt	Schleswig-Holstein
02080	Heidelberg	Baden-Württemberg
02081	Königstuhl	Baden-Württemberg
02083	Heidelberg-Grenzhof	Baden-Württemberg
02088	Heidenheim/Brenz	Baden-Württemberg
02092	Heidenrod-Mappershain	Hessen
02093	Heidmoor	Schleswig-Holstein
02095	Heilbronn	Baden-Württemberg
02100	Helgoland-Düne	Schleswig-Holstein
02110	Heinsberg-Schleiden	Nordrhein-Westfalen
02115	Helgoland	Schleswig-Holstein
02120	Helmstedt	Niedersachsen
02122	Helse, Kr. Dithmarschen	Schleswig-Holstein
02147	Herford	Nordrhein-Westfalen
02151	Herleshausen	Hessen
02158	Herrenalb, Bad	Baden-Württemberg
02159	Herrenberg	Baden-Württemberg
02160	Herrenhof	Thüringen
02166	Herrnhut	Sachsen
