name,theme,product_code,ages,piece_count,vip_points,price,dimension_1,dimension_2,dimension_3,url,date
Der Wirrwald,Minecraft®,21168,8+,287,225,29.99,NA,NA,NA,/de-de/product/the-warped-forest-21168,2021-10-04
Das letzte Gefecht,Minecraft®,21151,7+,222,150,19.99,NA,NA,NA,/de-de/product/the-end-battle-21151,2021-10-04
Der Handelsplatz,Minecraft®,21167,8+,201,150,19.99,NA,NA,NA,/de-de/product/the-trading-post-21167,2021-10-04
Der Panda-Kindergarten,Minecraft®,21158,7+,204,150,19.99,NA,NA,NA,/de-de/product/the-panda-nursery-21158,2021-10-04
Der Pferdestall,Minecraft®,21171,8+,241,150,19.99,NA,NA,NA,/de-de/product/the-horse-stable-21171,2021-10-04
Die Bienenfarm,Minecraft®,21165,8+,238,150,19.99,NA,NA,NA,/de-de/product/the-bee-farm-21165,2021-10-04
Die verlassene Mine,Minecraft®,21166,7+,248,150,19.99,NA,NA,NA,/de-de/product/the-abandoned-mine-21166,2021-10-04
Das Korallenriff,Minecraft®,21164,7+,92,75,9.99,NA,NA,NA,/de-de/product/the-coral-reef-21164,2021-10-04
Das erste Abenteuer,Minecraft®,21169,8+,542,450,59.99,NA,NA,NA,/de-de/product/the-first-adventure-21169,2021-10-04
Das Redstone-Kräftemessen,Minecraft®,21163,8+,504,412,54.99,NA,NA,NA,/de-de/product/the-redstone-battle-21163,2021-10-04
LEGO Minifiguren Serie 21,Minifiguren,71029,5+,8,30,3.99,NA,NA,NA,/de-de/product/series-21-71029,2021-10-04
Jahrmarkt-Minifiguren-Zubehörset,Minifiguren,40373,6+,51,97,12.99,NA,NA,NA,/de-de/product/fairground-mf-acc-set-40373,2021-10-04
Minifiguren-Belight-Rucksack,Minifiguren,5005918,5+,NA,337,44.99,NA,NA,NA,/de-de/product/minifigure-belight-backpack-5005918,2021-10-04
Kung-Fu-Training der Minions,Minions,40511,6+,54,112,14.99,NA,NA,NA,/de-de/product/minions-kung-fu-training-40511,2021-10-04
LEGO® Movie 2 Zubehörset 19,Minifiguren,853865,6+,48,97,12.99,NA,NA,NA,/de-de/product/tlm2-accessory-set-2019-853865,2021-10-04
Looney Tunes™,Minifiguren,71030,5+,8,30,3.99,NA,NA,NA,/de-de/product/looney-tunes-71030,2021-10-04
Schaukasten für Minifiguren,Minifiguren,5006152,5+,NA,150,19.99,NA,NA,NA,/de-de/product/display-case-8-black-5006152,2021-10-04
Unaufhaltsame Motorrad-Jagd,Minions,75549,6+,136,150,19.99,NA,NA,NA,/de-de/product/unstoppable-bike-chase-75549,2021-10-04
Minions-Figuren Bauset mit Versteck,Minions,75551,8+,876,375,49.99,NA,NA,NA,/de-de/product/brick-built-minions-and-their-lair-75551,2021-10-04
Minions Kung Fu Tempel,Minions,75550,6+,310,300,39.99,NA,NA,NA,/de-de/product/minions-kung-fu-battle-75550,2021-10-04
Minions Flugzeug,Minions,75547,4+,119,262,34.99,NA,NA,NA,/de-de/product/minion-pilot-in-training-75547,2021-10-04
Minions in Grus Labor,Minions,75546,4+,87,150,19.99,NA,NA,NA,/de-de/product/minions-in-gru-s-lab-75546,2021-10-04
Otto-Schlüsselanhänger,Minions,854043,6+,NA,37,4.99,NA,NA,NA,/de-de/product/otto-keyring-854043,2021-10-04
Stuart-Schlüsselanhänger,Minions,854071,6+,NA,37,4.99,NA,NA,NA,/de-de/product/stuart-keyring-854071,2021-10-04
Monkie Kids geheime Teambasis,Monkie Kid™,80013,10+,1959,1275,169.99,NA,NA,NA,/de-de/product/monkie-kid-s-team-secret-hq-80013,2021-10-04
Monkey King Mech,Monkie Kid™,80012,10+,1629,975,129.99,NA,NA,NA,/de-de/product/monkey-king-warrior-mech-80012,2021-10-04
Red Sons Inferno-Truck,Monkie Kid™,80011,9+,1111,750,99.99,NA,NA,NA,/de-de/product/red-son-s-inferno-truck-80011,2021-10-04
Monkie Kids Wolken-Jet,Monkie Kid™,80008,8+,529,375,49.99,NA,NA,NA,/de-de/product/monkie-kid-s-cloud-jet-80008,2021-10-04
Gepanzerter Eisenstier,Monkie Kid™,80007,7+,430,337,44.99,NA,NA,NA,/de-de/product/iron-bull-tank-80007,2021-10-04
Bike des weißen Drachenpferds,Monkie Kid™,80006,6+,259,225,29.99,NA,NA,NA,/de-de/product/white-dragon-horse-bike-80006,2021-10-04
Ferngesteuertes Monkie Kids Rennen,Monkie Kid™,40472,6+,57,97,12.99,NA,NA,NA,/de-de/product/monkie-kid-s-rc-race-40472,2021-10-04
Der legendäre Berg der Blumen und Früchte,Monkie Kid™,80024,10+,1949,1275,169.99,NA,NA,NA,/de-de/product/the-legendary-flower-fruit-mountain-80024,2021-10-04
Die glühende Gießerei,Monkie Kid™,80016,9+,1427,975,129.99,NA,NA,NA,/de-de/product/the-flaming-foundry-80016,2021-10-04
Monkie Kids Hubschrauberdrohne,Monkie Kid™,80023,10+,1462,975,129.99,NA,NA,NA,/de-de/product/monkie-kid-s-team-dronecopter-80023,2021-10-04
Bone Demon,Monkie Kid™,80028,9+,1375,750,99.99,NA,NA,NA,/de-de/product/the-bone-demon-80028,2021-10-04
Hauptquartier der Spider Queen,Monkie Kid™,80022,9+,1170,750,99.99,NA,NA,NA,/de-de/product/spider-queen-s-arachnoid-base-80022,2021-10-04
Monkie Kids Löwenwächter,Monkie Kid™,80021,8+,774,525,69.99,NA,NA,NA,/de-de/product/monkie-kid-s-lion-guardian-80021,2021-10-04
Monkie Kids™ Wolken Roadster,Monkie Kid™,80015,8+,659,450,59.99,NA,NA,NA,/de-de/product/monkie-kid-s-cloud-roadster-80015,2021-10-04
Pigsys Nudelwagen,Monkie Kid™,80026,8+,662,375,49.99,NA,NA,NA,/de-de/product/pigsy-s-noodle-tank-80026,2021-10-04
Sandys Schnellboot,Monkie Kid™,80014,8+,394,375,49.99,NA,NA,NA,/de-de/product/sandy-s-speedboat-80014,2021-10-04
Supermeca de Carga de Sandy,Monkie Kid™,80025,8+,520,337,44.99,NA,NA,NA,/de-de/product/sandy-s-power-loader-mech-80025,2021-10-04
Jet des weißen Drachenpferds,Monkie Kid™,80020,7+,565,300,39.99,NA,NA,NA,/de-de/product/white-dragon-horse-jet-80020,2021-10-04
Red Sons Inferno-Jet,Monkie Kid™,80019,7+,299,225,29.99,NA,NA,NA,/de-de/product/red-son-s-inferno-jet-80019,2021-10-04
Monkie Kids Wolken-Bike,Monkie Kid™,80018,6+,203,150,19.99,NA,NA,NA,/de-de/product/monkie-kid-s-cloud-bike-80018,2021-10-04
